arquivo;slug_local;titulo_local;curso_id_atual;confianca;id_crm_sugerido;id_crm_confirmado;candidato_1_nome;candidato_1_id_crm;candidato_1_slug;candidato_1_score;candidato_2_nome;candidato_2_id_crm;candidato_2_slug;candidato_2_score;candidato_3_nome;candidato_3_id_crm;candidato_3_slug;candidato_3_score
produtos\pos-computacao-forense-seguranca-informacao.md;pos-computacao-forense-seguranca-informacao;Pós-Graduação em Computação Forense e Segurança da Informação;;media - revisar;881;881;Computação Forense e Segurança da Informação;881;computacao-forense-e-seguranca-da-informacao-pos-graduacao-presencial;0.838;Computação Forense e Segurança da Informação;881;computacao-forense-e-seguranca-da-informacao-pos-graduacao;0.838;Computação Forense e Perícia Digital;40;computacao-forense-e-pericia-digital-pos-graduacao-presencial;0.577
produtos\pos-contabilidade-auditoria-gestao-tributaria-administracao-publica.md;pos-contabilidade-auditoria-gestao-tributaria-administracao-publica;Pós-Graduação em Contabilidade, Auditoria e Gestão Tributária na Administração Pública;;media - revisar;406;406;Contabilidade, Auditoria e Gestão Tributária;406;contabilidade-auditoria-e-gestao-tributaria-mba-presencial;0.677;MBA em Contabilidade Tributária e Inteligência Fiscal;711;contabilidade-digital-e-inteligencia-fiscal-mba-remoto;0.547;MBA em Contabilidade Tributária e Inteligência Fiscal;1018;contabilidade-tributaria-e-inteligencia-fiscal-mba-presencial;0.547
produtos\pos-design-mobiliario.md;pos-design-mobiliario;Pós-Graduação em Design de Mobiliário;;media - revisar;593;593;Design de Mobiliário;593;design-de-mobiliario-pos-graduacao-blended;0.702;Design de Mobiliário;593;design-de-mobiliario-pos-graduacao-remota;0.702;Pós-Graduação em Assuntos Regulatórios;38;assuntos-regulatorios-pos-graduacao-presencial;0.613
produtos\pos-direito-empresarial-gestao-negocios.md;pos-direito-empresarial-gestao-negocios;Pós-Graduação em Direito Empresarial, Gestão e Negócios;1357;baixa - buscar manualmente;1357;1357;MBA em Inteligência Artificial para Gestão e Negócios;1317;mba-em-inteligencia-artificial-para-gestao-e-negocios-ao-vivo;0.593;Reestruturação e Recuperação de Negócios;636;reestruturacao-e-recuperacao-de-negocios-mba-remoto;0.589;LLM em Business Law: Direito, Gestão e Negócios;1190;llm-em-business-law;0.588
produtos\pos-direito-familias-sucessoes.md;pos-direito-familias-sucessoes;Pós-Graduação em Direito das Famílias e Sucessões;;media - revisar;1016;1016;Direito das Famílias e Sucessões;1016;direito-das-familias-e-sucesses-pos-graduacao-remota;0.79;Direito das Famílias e Sucessões;1016;direito-das-familias-e-sucesses-pos-graduacao-presencial;0.79;Pós-Graduação em Ciências e Legislação do Trabalho;48;ciencias-e-legislacao-do-trabalho-pos-graduacao-presencial;0.566
produtos\pos-engenharia-seguranca-trabalho.md;pos-engenharia-seguranca-trabalho;Pós-Graduação em Engenharia de Segurança do Trabalho;;media - revisar;63;63;Engenharia de Segurança do Trabalho;63;engenharia-de-seguranca-do-trabalho-pos-graduacao-presencial;0.805;Engenharia de Segurança do Trabalho;63;pos-graduacao-em-engenharia-de-seguranca-do-trabalho-remoto;0.805;Pós-Graduação em Ciências e Legislação do Trabalho;48;ciencias-e-legislacao-do-trabalho-pos-graduacao-presencial;0.804
produtos\pos-estruturacao-gestao-clinicas-consultorios.md;pos-estruturacao-gestao-clinicas-consultorios;Pós-Graduação em Estruturação e Gestão de Clínicas e Consultórios;142;baixa - buscar manualmente;142;142;Pós Graduação em Master BIM: Ferramentas de Gestão e Projeto;430;master-bim-ferramentas-de-gestao-e-projeto-pos-graduacao-presencial;0.592;Formação em Liderança e Gestão de Equipes;922;formacao-em-lideranca-e-gestao-de-equipes-60h-curso-remoto-de-curta-duracao;0.566;Formação em Liderança e Gestão de Equipes;922;formacao-em-lideranca-e-gestao-de-equipes-60h-curso-presencial-de-curta-duracao-bkp;0.566
produtos\pos-farmacia-clinica-gestao-farmaceutica.md;pos-farmacia-clinica-gestao-farmaceutica;Pós-Graduação em Farmácia Clínica e Gestão Farmacêutica;;alta;1322;1322;MBA em Farmácia Clínica e Gestão Farmacêutica;1322;farmacia-clinica-e-gestao-farmaceutica-remoto;0.86;Pós-Graduação em Atenção Farmacêutica e Farmácia Clínica ;36;atencao-farmaceutica-e-farmacia-clinica-pos-graduacao-presencial;0.595;Formação em Liderança e Gestão de Equipes;922;formacao-em-lideranca-e-gestao-de-equipes-60h-curso-remoto-de-curta-duracao;0.583
produtos\pos-gestalt-terapia.md;pos-gestalt-terapia;Pós-Graduação em Gestalt-Terapia;1359;baixa - buscar manualmente;1359;1359;Pós-Graduação em Master em Arquitetura e Lighting;89;master-em-arquitetura-e-lighting-pos-graduacao-presencial;0.593;Pós-Graduação em Atenção Farmacêutica e Farmácia Clínica ;36;atencao-farmaceutica-e-farmacia-clinica-pos-graduacao-presencial;0.545;Pós-Graduação em Assuntos Regulatórios;38;assuntos-regulatorios-pos-graduacao-presencial;0.543
produtos\pos-gestao-estrategica-cidades-inteligentes.md;pos-gestao-estrategica-cidades-inteligentes;Pós-Graduação em Gestão Estratégica de Cidades Inteligentes;;media - revisar;36;36;Pós-Graduação em Atenção Farmacêutica e Farmácia Clínica ;36;atencao-farmaceutica-e-farmacia-clinica-pos-graduacao-presencial;0.626;MBA em Gestão Estratégica de Negócios;568;https:ipog.edu.br?post_type=cursos&p=192992;0.625;Liderança Executiva e Gestão Estratégica de Negócios;568;lideranca-executiva-e-gestao-estrategica-de-negocios-mba-blended;0.577
